frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
3059.0,1321.85,940.25,15.48832,8538,889.78723,769.1489,50.454075,12854
3060.0,1319.2916,942.5417,3.4346735,8509,903.5156,778.7344,16.743645,13764
3061.0,1329.3214,932.8214,13.967117,8831,856.0323,781.6774,47.574455,14976
3062.0,1321.7625,929.2875,8.344254,8619,887.9659,775.5,32.525604,16306
3063.0,1327.8312,941.5714,13.701259,8627,835.8706,784.8706,52.931335,17266
3064.0,1326.4286,920.82855,20.790226,8895,838.67645,783.17645,3.2776413,18147
3065.0,1351.8706,925.58826,25.883411,9039,812.7447,780.7659,26.043558,18733
3066.0,1348.579,929.8026,5.3474846,9171,761.3939,789.1212,52.026073,19423
3067.0,1333.2439,926.561,15.673959,9127,733.67645,805.35297,32.12052,20015
3068.0,1341.1058,935.7882,12.122373,9206,733.59,784.29,21.063166,20528
3069.0,1346.7878,942.0606,8.463345,9185,718.2992,784.3937,15.291184,21089
3070.0,1351.9667,918.0333,24.57907,8977,691.9039,789.6923,26.921902,21340
3071.0,1366.091,923.37665,15.101193,8993,655.6132,781.18866,37.27363,21397
3072.0,1355.0333,930.9,13.374307,8953,650.6827,781.875,4.9780827,21505
3073.0,1368.3292,915.29266,20.502941,8759,648.63715,797.81415,16.069868,21165
3074.0,1375.0286,922.3714,9.746264,8740,596.8421,791.4211,52.188103,21165
3075.0,1367.591,929.01135,9.970317,8897,578.2558,798.93024,20.0459,20221
3076.0,1359.0385,918.38464,13.640821,9025,551.709,803.7537,26.981462,19541
3077.0,1383.0405,904.62164,27.668028,9240,529.1855,798.5806,23.10993,18441
3078.0,1377.0769,908.1539,6.931192,9375,498.854,817.0949,35.53558,16953
3079.0,1370.5135,905.02704,7.2701235,9535,471.17212,824.09015,28.55206,15643
3080.0,1376.862,904.86206,6.350654,9774,443.57144,813.1008,29.707954,14345
3081.0,1393.0741,904.9259,16.212162,9802,373.5987,835.4211,73.44644,12831
3082.0,1401.1782,927.8614,24.32516,9967,362.41306,822.65216,16.97539,11350
3083.0,1395.1595,924.6064,6.8424797,9868,320.54,843.22,46.651764,9702
3084.0,1392.5887,944.35516,19.915403,9764,294.07596,830.62024,29.310394,8089
3085.0,1403.04,933.69,14.932354,9574,254.77397,830.3219,39.30312,6367
3086.0,1413.7273,933.2727,10.695399,9429,307.24445,860.6445,60.602055,4672
3087.0,1425.6456,939.56964,13.479545,9168,347.53397,842.38837,44.23269,3318
3088.0,1413.4375,930.78125,15.042416,9093,346.40427,868.4681,26.104168,2117
3089.0,1437.2142,936.4643,24.446474,8925,294.64706,861.82355,52.18197,1163
3090.0,1431.9457,935.70654,5.3227677,9155,206.0137,846.14386,90.00958,430
